السنة,الربع,نوع المزاد,عدد_المزادات,عدد_الأصول,المنطقة,المدينة,نوع_الأصل,نوع_الصك,مجموع_قيمة_البيع
2025,4,إلكتروني,1,1,الباحة,بلجرشي,عقارات,ارض زراعية,382500.0
2025,4,إلكتروني,2,2,عسير,صمخ,عقارات,سكني,305000.0
2025,4,إلكتروني,2,2,الرياض,الرين,عقارات,أخرى,311000.0
2025,4,إلكتروني,2,2,حائل,الحايط,عقارات,أخرى,1825000.0
2025,4,إلكتروني,1,1,الرياض,وادي الدواسر,عقارات,سكني,112000.0
2025,4,إلكتروني,1,1,الباحة,القرى,عقارات,سكني,181500.0
2025,4,إلكتروني,1,2,جيزان,صبياء,عقارات,أخرى,727000.0
2025,4,إلكتروني,1,1,القصيم,المذنب,عقارات,سكني,107500.0
2025,4,إلكتروني,1,1,المنطقة الشرقية,ابقيق,عقارات,سكني,339000.0
2025,4,إلكتروني,1,1,الرياض,المجمعه,عقارات,ارض زراعية,5350000.0
2025,4,إلكتروني,1,1,القصيم,قصيباء,عقارات,غير محدد,110000.0
2025,4,إلكتروني,1,1,القصيم,رياض الخبراء,عقارات,سكني,174000.0
2025,4,إلكتروني,1,3,الرياض,وادي الدواسر,عقارات,أخرى,764000.0
2025,4,إلكتروني,1,1,مكة المكرمة,القنفذه,عقارات,سكني,120000.0
2025,4,إلكتروني,1,1,عسير,تثليث,عقارات,سكني,4050000.0
2025,4,إلكتروني,1,1,القصيم,المذنب,عقارات,غير محدد,101500.0
2025,4,إلكتروني,1,1,الرياض,الارطاويه,عقارات,أخرى,141500.0
2025,4,إلكتروني,1,1,الحدود الشمالية,عرعر,عقارات,غير محدد,477000.0
2025,4,إلكتروني,1,1,القصيم,عنيزه,عقارات,أخرى,111000.0
2025,4,إلكتروني,18,54,المنطقة الشرقية,الدمام,عقارات,غير محدد,74738290.0
2025,4,إلكتروني,1,1,الرياض,الدوادمي,عقارات,سكني,117500.0
2025,4,إلكتروني,1,1,حائل,موقق,عقارات,غير محدد,175500.0
2025,4,إلكتروني,8,62,الرياض,الدلم,عقارات,سكني,9452000.0
2025,4,إلكتروني,5,10,الجوف,سكاكا,عقارات,أخرى,3125000.0
2025,4,إلكتروني,25,98,مكة المكرمة,جدة,عقارات,سكني,268366500.0
